报告ID,机构ID,发布日期,报告名称,报告类型,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
S-OECD-2016-01,oecd-sti,2016-12-08,"OECD Science, Technology and Innovation Outlook 2016",旗舰系列,含中国统计与比较,https://www.oecd.org/content/dam/oecd/en/publications/reports/2016/12/oecd-science-technology-and-innovation-outlook-2016_g1g6dae9/sti_in_outlook-2016-en.pdf,高,全球科技创新体系基线,第十批精选全文,本地资产已保存,提供十年观察窗起点的研发投入、科研体系、技术趋势和创新政策综合基线,2026-08-22
S-OECD-2021-01,oecd-sti,2021-01-12,"OECD Science, Technology and Innovation Outlook 2021: Times of Crisis and Opportunity",旗舰系列,含中国统计与比较,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2021_75f79015-en.html,高,危机条件下的科技体系,第十批精选全文,本地资产已保存,记录疫情冲击下科研动员、协作、资助与政策能力变化,2026-08-22
S-OECD-2023-01,oecd-sti,2023-03-16,"OECD Science, Technology and Innovation Outlook 2023: Enabling Transitions in Times of Disruption",旗舰系列,含中国统计与比较,https://www.oecd.org/en/publications/2023/03/oecd-science-technology-and-innovation-outlook-2023_fb6e6c20.html,高,转型时期的科技政策,第十批精选全文,本地资产已保存,连接气候、产业与社会转型对科技创新政策的新要求,2026-08-22
C-OECD-DOI-235C9806-EN,oecd-sti,2018-10-05,How is research policy across the OECD organised?,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/industry-and-services/how-is-research-policy-across-the-oecd-organised_235c9806-en,高,国家研究政策组织,第十批精选全文,本地资产已保存,比较OECD国家研究政策的组织结构、职责配置和协调方式,2026-08-22
C-OECD-DOI-0D057DA7-EN,oecd-sti,2019-03-28,Public research and innovative entrepreneurship,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/public-research-and-innovative-entrepreneurship_0d057da7-en,高,公共研究与创新创业,第十批精选全文,本地资产已保存,连接公共科研成果、研究人员创业和创新企业形成机制,2026-08-22
C-OECD-DOI-66A3BD38-EN,oecd-sti,2019-04-05,Science-industry knowledge exchange,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/science-industry-knowledge-exchange_66a3bd38-en,高,科学产业知识交换,第十批精选全文,本地资产已保存,补足大学、科研机构与企业之间知识流动和合作机制,2026-08-22
C-OECD-DOI-A4C9197A-EN,oecd-sti,2019-10-17,Policy initiatives to enhance the impact of public research,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/policy-initiatives-to-enhance-the-impact-of-public-research_a4c9197a-en,高,公共研究影响政策,第十批精选全文,本地资产已保存,比较增强公共研究经济社会影响的政策工具与实施安排,2026-08-22
C-OECD-DOI-18D3BF19-EN,oecd-sti,2020-04-09,The 2018 OECD International Survey of Scientific Authors,"OECD Science, Technology and Industry Working Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/the-2018-oecd-international-survey-of-scientific-authors_18d3bf19-en,高,全球科研人员结构,第十批精选全文,本地资产已保存,以科学作者调查刻画科研职业、流动、协作与数字工具使用,2026-08-22
C-OECD-DOI-1B06C47C-EN,oecd-sti,2020-04-09,Charting the digital transformation of science,"OECD Science, Technology and Industry Working Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/charting-the-digital-transformation-of-science_1b06c47c-en,高,科学数字化转型,第十批精选全文,本地资产已保存,系统描述数据、计算和数字协作平台改变科学研究过程的机制,2026-08-22
C-OECD-DOI-0CA0CA45-EN,oecd-sti,2020-06-16,Addressing societal challenges using transdisciplinary research,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd.org/en/publications/addressing-societal-challenges-using-transdisciplinary-research_0ca0ca45-en.html,高,跨学科研究组织,第十批精选全文,本地资产已保存,补足面向社会挑战的跨学科研究资助、组织和评价机制,2026-08-22
C-OECD-DOI-E08AA3BB-EN,oecd-sti,2020-07-10,Building digital workforce capacity and skills for data-intensive science,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/building-digital-workforce-capacity-and-skills-for-data-intensive-science_e08aa3bb-en,高,数据密集型科研人才,第十批精选全文,本地资产已保存,分析数据密集型科学所需技能、职业能力和机构建设,2026-08-22
C-OECD-DOI-06913B3B-EN,oecd-sti,2021-05-18,Effective policies to foster high-risk/high-reward research,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd.org/en/publications/effective-policies-to-foster-high-risk-high-reward-research_06913b3b-en.html,高,高风险高回报研究资助,第十批精选全文,本地资产已保存,比较支持突破性研究的项目设计、遴选、管理和容错机制,2026-08-22
C-OECD-DOI-0F8BD468-EN,oecd-sti,2021-05-20,Reducing the precarity of academic research careers,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/reducing-the-precarity-of-academic-research-careers_0f8bd468-en,高,科研职业稳定性,第十批精选全文,本地资产已保存,识别学术研究职业不稳定的制度来源及政策应对,2026-08-22
C-OECD-DOI-4D787B35-EN,oecd-sti,2021-12-16,Improving knowledge transfer and collaboration between science and business in Spain,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/improving-knowledge-transfer-and-collaboration-between-science-and-business-in-spain_4d787b35-en,高,科学商业知识转移,第十批精选全文,本地资产已保存,以西班牙为案例分析科学与企业协作和知识转移体系改革,2026-08-22
C-OECD-DOI-9EB9A85B-EN,oecd-sti,2023-05-24,Public research funding in Sweden,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd-ilibrary.org/science-and-technology/public-research-funding-in-sweden_9eb9a85b-en,高,公共科研资助治理,第十批精选全文,本地资产已保存,以瑞典为案例比较公共科研资助结构、绩效与政策协调,2026-08-22
C-OECD-DOI-DC21227A-EN,oecd-sti,2023-09-01,Promoting diverse career pathways for doctoral and postdoctoral researchers,"OECD Science, Technology and Industry Policy Papers",国际比较参照,https://www.oecd.org/en/publications/promoting-diverse-career-pathways-for-doctoral-and-postdoctoral-researchers_dc21227a-en.html,高,博士后职业路径,第十批精选全文,本地资产已保存,补足博士与博士后研究人员多元职业发展及人才流动政策,2026-08-22
S-OECD-2018-01,oecd-sti,2018-11-19,"OECD Science, Technology and Innovation Outlook 2018",旗舰系列,目录语境,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2018_sti_in_outlook-2018-en.html,中或低,目录层关注方向,保留轻量目录,不下载,官方页面保留目录；当前未确认可稳定取得的OECD官方PDF直链,2026-08-22
C-OECD-DOI-5JLR2Z70K0BX-EN,oecd-sti,2016-09-22,Drivers and Implications of Scientific Open Access Publishing,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd-ilibrary.org/science-and-technology/drivers-and-implications-of-scientific-open-access-publishing_5jlr2z70k0bx-en,中或低,目录层关注方向,保留轻量目录,不下载,开放获取论文保留目录；旧版官方附件当前不可稳定取得,2026-08-22
C-OECD-DOI-A1CFB1A8-EN,oecd-sti,2025-04-08,Embedding citizen science into research policy,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd.org/en/publications/embedding-citizen-science-into-research-policy_a1cfb1a8-en.html,中或低,目录层关注方向,保留轻量目录,不下载,公民科学材料保留目录；官方PDF直链待后续核验,2026-08-22
C-OECD-DOI-0C685800-EN,oecd-sti,2026-04-29,New expectations and demands from science,"OECD Science, Technology and Industry Working Papers",目录语境,https://www.oecd.org/en/publications/new-expectations-and-demands-from-science_0c685800-en.html,中或低,目录层关注方向,保留轻量目录,不下载,科学体系新期待材料保留目录；官方PDF直链待后续核验,2026-08-22
C-OECD-DOI-5JLN7VNPXS32-EN,oecd-sti,2016-11-08,Research Ethics and New Forms of Data for Social and Economic Research,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd-ilibrary.org/science-and-technology/research-ethics-and-new-forms-of-data-for-social-and-economic-research_5jln7vnpxs32-en,中或低,目录层关注方向,保留轻量目录,不下载,研究伦理材料保留目录，待数据治理专题出现独立缺口后调用,2026-08-22
C-OECD-DOI-A09A3A5D-EN,oecd-sti,2017-04-25,Inclusive innovation policies,"OECD Science, Technology and Industry Working Papers",目录语境,https://www.oecd-ilibrary.org/science-and-technology/inclusive-innovation-policies_a09a3a5d-en,中或低,目录层关注方向,保留轻量目录,不下载,包容性创新范围较宽，与当前科学体系纵向主链的直接增量较低,2026-08-22
C-OECD-DOI-8A306011-EN,oecd-sti,2017-11-17,What role for social sciences in innovation?,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd.org/en/publications/what-role-for-social-sciences-in-innovation_8a306011-en.html,中或低,目录层关注方向,保留轻量目录,不下载,社会科学角色议题保留目录，后续科研结构专题定点调用,2026-08-22
C-OECD-DOI-302B12BB-EN,oecd-sti,2017-12-06,Business models for sustainable research data repositories,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd.org/en/publications/business-models-for-sustainable-research-data-repositories_302b12bb-en.html,中或低,目录层关注方向,保留轻量目录,不下载,研究数据仓储商业模式属于基础设施细分议题，现有证据已可覆盖,2026-08-22
C-OECD-DOI-FA11A0E0-EN,oecd-sti,2017-12-08,Strengthening the effectiveness and sustainability of international research infrastructures,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd.org/en/publications/strengthening-the-effectiveness-and-sustainability-of-international-research-infrastructures_fa11a0e0-en.html,中或低,目录层关注方向,保留轻量目录,不下载,国际科研基础设施可持续性与既有大型科研设施材料重叠,2026-08-22
C-OECD-DOI-EADD1094-EN,oecd-sti,2018-11-13,Innovation policies in the digital age,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd-ilibrary.org/science-and-technology/innovation-policies-in-the-digital-age_eadd1094-en,中或低,目录层关注方向,保留轻量目录,不下载,数字时代创新政策范围较宽，优先保留更直接的科学数字化机制材料,2026-08-22
C-OECD-DOI-1C416F43-EN,oecd-sti,2022-06-22,Integrity and security in the global research ecosystem,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd-ilibrary.org/science-and-technology/integrity-and-security-in-the-global-research-ecosystem_1c416f43-en,中或低,目录层关注方向,保留轻量目录,不下载,研究安全主题保留轻量目录，不以安全标签单独触发全文,2026-08-22
C-OECD-DOI-3F6C76A4-EN,oecd-sti,2021-02-05,The design and implementation of mission-oriented innovation policies,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd.org/en/publications/the-design-and-implementation-of-mission-oriented-innovation-policies_3f6c76a4-en.html,中或低,目录层关注方向,保留轻量目录,不下载,任务导向政策设计与既有OECD、Fraunhofer材料重叠,2026-08-22
