报告ID,发布日期,报告名称,官方落地页,原始资产类型,官方资产,本地原始资产,本地文本,本地切片,PDF页数,字节数,提取文本字符数,China词形命中数,SHA256,中国关联,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-IFP-2022-FUND-ORGANIZATIONS-NOT-PROJECTS-DIVERSIFYING-AMERICAS-INNOVATION-ECOSYSTEM-WITH-A-,2022-01-19,"Fund Organizations, Not Projects: Diversifying America’s Innovation Ecosystem with a Portfolio of Independent Research Organizations",https://ifp.org/fund-organizations-not-projects-diversifying-americas-innovation-ecosystem-with-a-portfolio-of-independent-research-organizations/,WEB,https://ifp.org/fund-organizations-not-projects-diversifying-americas-innovation-ecosystem-with-a-portfolio-of-independent-research-organizations/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2022-FUND-ORGANIZATIONS-NOT-PROJECTS-DIVERSIFYING-AMERICAS-INNOVATION-ECOSYSTEM-WITH-A-.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2022-FUND-ORGANIZATIONS-NOT-PROJECTS-DIVERSIFYING-AMERICAS-INNOVATION-ECOSYSTEM-WITH-A-.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2022-FUND-ORGANIZATIONS-NOT-PROJECTS-DIVERSIFYING-AMERICAS-INNOVATION-ECOSYSTEM-WITH-A-.md,0,498560,22876,0,c2f085a75a6ec98caea88153c73d70725034865959d9b2092adbd520264c2af4,否,科学体系与基础研究；研发治理与科研组织,独立聚焦研究组织、组织型资助与高风险研究组合,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2022-PILOTING-AND-EVALUATING-NSF-SCIENCE-LOTTERY-GRANTS,2022-02-02,Piloting and Evaluating NSF Science Lottery Grants: A Roadmap to Improving Research Funding Efficiencies and Proposal Diversity,https://ifp.org/piloting-and-evaluating-nsf-science-lottery-grants/,PDF,https://ifp.org/wp-content/uploads/Formatted-Lottery-Text.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-IFP-2022-PILOTING-AND-EVALUATING-NSF-SCIENCE-LOTTERY-GRANTS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2022-PILOTING-AND-EVALUATING-NSF-SCIENCE-LOTTERY-GRANTS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2022-PILOTING-AND-EVALUATING-NSF-SCIENCE-LOTTERY-GRANTS.md,5,185577,10462,0,e4b45cf32419a37206a215e257186d48e9ada30cd45e0b30a1f64003b576f3b0,否,科学体系与基础研究；研发治理与科研组织,科研评审随机化、资助效率与提案多样性,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2022-SEMICONDUCTOR-INVESTMENTS-WONT-PAY-OFF-IF-CONGRESS-DOESNT-FIX-THE-TALENT-BOTTLENEC,2022-05-10,Semiconductor Investments Won’t Pay Off If Congress Doesn’t Fix the Talent Bottleneck,https://ifp.org/semiconductor-investments-wont-pay-off-if-congress-doesnt-fix-the-talent-bottleneck/,WEB,https://ifp.org/semiconductor-investments-wont-pay-off-if-congress-doesnt-fix-the-talent-bottleneck/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2022-SEMICONDUCTOR-INVESTMENTS-WONT-PAY-OFF-IF-CONGRESS-DOESNT-FIX-THE-TALENT-BOTTLENEC.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2022-SEMICONDUCTOR-INVESTMENTS-WONT-PAY-OFF-IF-CONGRESS-DOESNT-FIX-THE-TALENT-BOTTLENEC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2022-SEMICONDUCTOR-INVESTMENTS-WONT-PAY-OFF-IF-CONGRESS-DOESNT-FIX-THE-TALENT-BOTTLENEC.md,0,486378,13020,9,af985eee98259ba4e5ad54413e980d51a5de8a49b6b7e2ad20c34965f0f20e68,是,关键与通用技术；人才大学与科研组织,半导体产业能力、全球人才流动与中美技术竞争,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2022-HOW-DO-WE-MAKE-AN-ENTREPRENEURIAL-STATE,2022-11-30,"But Seriously, How Do We Make an Entrepreneurial State?",https://ifp.org/how-do-we-make-an-entrepreneurial-state/,WEB,https://ifp.org/how-do-we-make-an-entrepreneurial-state/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2022-HOW-DO-WE-MAKE-AN-ENTREPRENEURIAL-STATE.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2022-HOW-DO-WE-MAKE-AN-ENTREPRENEURIAL-STATE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2022-HOW-DO-WE-MAKE-AN-ENTREPRENEURIAL-STATE.md,0,500521,26827,1,e6613eaa1a58f391e4a79143ee9857f184fb53267b8bcb75180ac7e2b3d57efe,是,研发治理与科研组织；技术创新与产业转化,任务型机构、公共创业能力与创新政策执行,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2023-BUILDING-A-BETTER-NIH,2023-05-17,Building a Better NIH,https://ifp.org/building-a-better-nih/,WEB,https://ifp.org/building-a-better-nih/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2023-BUILDING-A-BETTER-NIH.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2023-BUILDING-A-BETTER-NIH.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2023-BUILDING-A-BETTER-NIH.md,0,486338,11220,0,488acaa0ff94278e1571b89ad951106053147ded2c603943e2d08fe3d17bc8b9,否,科学体系与基础研究；研发治理与科研组织,生物医学科研资助机构改革与科学公共价值,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2023-TO-SPEED-UP-SCIENTIFIC-PROGRESS-WE-NEED-TO-UNDERSTAND-SCIENCE-POLICY,2023-09-11,"To Speed Up Scientific Progress, We Need to Understand Science Policy",https://ifp.org/to-speed-up-scientific-progress-we-need-to-understand-science-policy/,WEB,https://ifp.org/to-speed-up-scientific-progress-we-need-to-understand-science-policy/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2023-TO-SPEED-UP-SCIENTIFIC-PROGRESS-WE-NEED-TO-UNDERSTAND-SCIENCE-POLICY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2023-TO-SPEED-UP-SCIENTIFIC-PROGRESS-WE-NEED-TO-UNDERSTAND-SCIENCE-POLICY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2023-TO-SPEED-UP-SCIENTIFIC-PROGRESS-WE-NEED-TO-UNDERSTAND-SCIENCE-POLICY.md,0,489741,13421,0,ae438cc617c30a018b5e3bb1dc4a140e9ab0ecb45787d9cf661c87900464398f,否,科学体系与基础研究；研发治理与科研组织,元科学证据、科研政策试验与知识转译,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2023-WHERE-CAN-FEDERAL-AI-RD-FUNDING-GO-THE-FURTHEST,2023-10-20,Where Can Federal AI R&D Funding Go the Furthest?,https://ifp.org/where-can-federal-ai-rd-funding-go-the-furthest/,WEB,https://ifp.org/where-can-federal-ai-rd-funding-go-the-furthest/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2023-WHERE-CAN-FEDERAL-AI-RD-FUNDING-GO-THE-FURTHEST.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2023-WHERE-CAN-FEDERAL-AI-RD-FUNDING-GO-THE-FURTHEST.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2023-WHERE-CAN-FEDERAL-AI-RD-FUNDING-GO-THE-FURTHEST.md,0,510222,18334,1,a2987eeec7c05919f32d5b0541c6e03cbc270f2cabdaf7da588e2dda7bc6754f,是,关键与通用技术；研发治理与科研组织,公共AI研发投入方向、市场失灵与能力建设,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2024-COMPUTE-IN-AMERICA,2024-06-10,Compute in America: Building the Next Generation of AI Infrastructure at Home,https://ifp.org/compute-in-america/,WEB,https://ifp.org/compute-in-america/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2024-COMPUTE-IN-AMERICA.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2024-COMPUTE-IN-AMERICA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2024-COMPUTE-IN-AMERICA.md,0,476958,6349,1,419c8c7331f7b651e82480102c32bebf433df859c6924dfa832796635f125393,是,关键与通用技术；技术创新与产业转化,AI算力基础设施、产业能力与中美比较,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2024-NIST-FOUNDATION,2024-06-18,The Case for a NIST Foundation,https://ifp.org/nist-foundation/,WEB,https://ifp.org/nist-foundation/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2024-NIST-FOUNDATION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2024-NIST-FOUNDATION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2024-NIST-FOUNDATION.md,0,652735,69928,23,1a6c5fcebb32cfa32d3c16b93fe794626f7eb69622c9763762be98b4b562150d,是,研发治理与科研组织；技术创新与产业转化,国家计量标准机构、公私合作与技术商业化,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
C-IFP-2024-MAXIMIZING-THE-SCIENTIFIC-ROI-FROM-INTERNATIONAL-PHDS,2024-12-02,Maximizing the Scientific ROI from International PhDs,https://ifp.org/maximizing-the-scientific-roi-from-international-phds/,WEB,https://ifp.org/maximizing-the-scientific-roi-from-international-phds/,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-IFP-2024-MAXIMIZING-THE-SCIENTIFIC-ROI-FROM-INTERNATIONAL-PHDS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-IFP-2024-MAXIMIZING-THE-SCIENTIFIC-ROI-FROM-INTERNATIONAL-PHDS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-IFP-2024-MAXIMIZING-THE-SCIENTIFIC-ROI-FROM-INTERNATIONAL-PHDS.md,0,492168,16057,3,b4361b4f85dfbe55cb9298c4403c9d252a9968a978a38c70f0dce156a91d74ab,是,人才大学与科研组织；开放科学与国际合作,国际博士人才、科研生产率与中美人才比较,新型科技政策智库进入节点；直接解释科学技术创新机制；相对既有全文具有证据增量,2026-08-23
