报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-CSET-11988,cset,2023-01-31,U.S. Outbound Investment into Chinese AI Companies,N4,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态;T7_安全供应链与治理边界,是,https://cset.georgetown.edu/publication/u-s-outbound-investment-into-chinese-ai-companies/,高,中国AI企业融资结构,第四批精选全文,本地资产已保存,直接量化美国资本进入中国AI企业的规模、阶段和企业类型，用于技术商业化与跨境资本机制,2026-08-22
C-CSET-20338,cset,2024-11-19,Acquiring AI Companies: Tracking U.S. AI Mergers and Acquisitions,N4,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://cset.georgetown.edu/publication/acquiring-ai-companies-tracking-u-s-ai-mergers-and-acquisitions/,高,AI企业并购与创新转化,第四批精选全文,本地资产已保存,补足AI企业并购、技术获取和创新资产整合的微观证据,2026-08-22
C-CSET-18960,cset,2024-07-23,Governing AI with Existing Authorities,N4,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://cset.georgetown.edu/publication/governing-ai-with-existing-authorities/,中或低,目录层关注方向,保留轻量目录,不下载,一般AI监管权限研究与当前科技创新证据主轴增量有限，保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2022,stanford-hai,2022-01-01,The 2022 AI Index Report,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2022-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻关键年份已有六个AI Index全文观察点，继续保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2025,stanford-hai,2025-01-01,The 2025 AI Index Report,N5,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2025-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻关键年份已有六个AI Index全文观察点，继续保留目录,2026-08-22
C-STANFORD-HAI-AI-INDEX-2018,stanford-hai,2018-01-01,The 2018 AI Index Report,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,是,https://hai.stanford.edu/ai-index/2018-ai-index-report,中或低,目录层关注方向,保留轻量目录,不下载,相邻关键年份已有六个AI Index全文观察点，继续保留目录,2026-08-22
C-KISTEP-PRG0720220058,kistep,2022-10-31,중소기업의 디지털 전환 지원정책 재설계를 위한 기업 R&D 활동 빅데이터 실증분석 연구,N3,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220058&rpt_tp=831-007,高,中小企业数字化与研发活动,第四批精选全文,本地资产已保存,以企业研发大数据检验数字化转型支持政策及中小企业创新行为,2026-08-22
C-KISTEP-RES0220220146,kistep,2022-10-19,2021년도 예비타당성조사 보고서 바이오파운드리 구축 및 활용기술개발사업,N3,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220146&rpt_tp=831-003,高,生物铸造研发基础设施,第四批精选全文,本地资产已保存,补足生物铸造平台的建设论证、技术开发和科研基础设施组织,2026-08-22
C-KISTEP-RES0220220145,kistep,2022-10-19,2022년도 사업계획 적정성 재검토 보고서 바이오 연구 소재 활용기반 조성 사업,N3,T2_技术创新与关键技术;T4_人才大学与科研组织,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220145&rpt_tp=831-003,高,生物研究材料基础,第四批精选全文,本地资产已保存,补足生物研究材料利用平台、科研资源配置和项目治理,2026-08-22
C-OECD-DOI-13D38F92-EN,oecd-sti,2023-04-13,AI language models,N4,T2_技术创新与关键技术,否,https://www.oecd-ilibrary.org/science-and-technology/ai-language-models_13d38f92-en,高,语言模型技术节点,第四批精选全文,本地资产已保存,提供生成式AI跃迁初期的技术能力、经济影响与政策问题综合判断,2026-08-22
C-OECD-DOI-0FB79BB9-EN,oecd-sti,2023-04-11,A portrait of AI adopters across countries,N4,T2_技术创新与关键技术,否,https://www.oecd-ilibrary.org/science-and-technology/a-portrait-of-ai-adopters-across-countries_0fb79bb9-en,中或低,目录层关注方向,保留轻量目录,不下载,与已保存的企业AI采用者特征和数字技术扩散材料高度重叠，保留目录,2026-08-22
C-OECD-DOI-876367E3-EN,oecd-sti,2023-02-28,A blueprint for building national compute capacity for artificial intelligence,N4,T2_技术创新与关键技术,否,https://www.oecd.org/en/publications/a-blueprint-for-building-national-compute-capacity-for-artificial-intelligence_876367e3-en.html,高,国家AI算力能力,第四批精选全文,本地资产已保存,补足算力供需测量、国家科研基础设施和资源配置框架,2026-08-22
C-OECD-DOI-BAFCDC7B-EN,oecd-sti,2025-11-26,Assessing the relevance of R&D funding towards societal goals,N5,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd.org/en/publications/assessing-the-relevance-of-r-d-funding-towards-societal-goals_bafcdc7b-en.html,高,研发资助方向性测量,第四批精选全文,本地资产已保存,以Fundstat和机器学习识别公共研发资助与社会目标的关联,2026-08-22
C-OECD-DOI-34797721-EN,oecd-sti,2025-09-05,Fostering research infrastructure ecosystems for addressing complex scientific and societal challenges,N5,T1_科学体系与基础研究,否,https://www.oecd.org/en/publications/fostering-research-infrastructure-ecosystems-for-addressing-complex-scientific-and-societal-challenges_34797721-en.html,高,科研基础设施生态,第四批精选全文,本地资产已保存,补足跨设施、跨学科协作及科研基础设施可持续治理机制,2026-08-22
C-OECD-DOI-5EE60CB5-EN,oecd-sti,2025-06-30,Innovation policy transformed?,N5,T3_创新政策与研发治理,否,https://www.oecd.org/en/publications/innovation-policy-transformed_5ee60cb5-en.html,高,创新政策范式变化,第四批精选全文,本地资产已保存,以自然语言处理识别创新政策目标和工具的长期结构变化,2026-08-22
C-OECD-DOI-68058B95-EN,oecd-sti,2020-08-14,Current approaches to terrorist and violent extremist content among the global top 50 online content-sharing services,N2,T6_国际合作开放科学与比较,否,https://www.oecd-ilibrary.org/science-and-technology/current-approaches-to-terrorist-and-violent-extremist-content-among-the-global-top-50-online-content-sharing-services_68058b95-en,中或低,目录层关注方向,保留轻量目录,不下载,内容分享治理或产品召回门户不构成科学技术创新机制证据，保留目录,2026-08-22
C-OECD-DOI-D8B0D605-EN,oecd-sti,2020-05-07,OECD GlobalRecalls portal,N2,T6_国际合作开放科学与比较,否,https://www.oecd.org/en/publications/oecd-globalrecalls-portal_d8b0d605-en.html,中或低,目录层关注方向,保留轻量目录,不下载,内容分享治理或产品召回门户不构成科学技术创新机制证据，保留目录,2026-08-22
C-FRAUNHOFER-ISI-DP-86,fraunhofer-isi,2024-01-01,Redefining Criticality in a Changing World Combining Domestic and Global Perspectives on Enabling Technologies,N4,T6_国际合作开放科学与比较,否,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_86_2024.pdf,中或低,目录层关注方向,保留轻量目录,不下载,关键性与供应链语境权重较高，对当前创新机制的独立增量不足，保留目录,2026-08-22
C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020,us-ostp,2020-10-27,"Advancing America’s Global Leadership in Science and Technology, Trump Administration Highlights: 2017-2020",N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T6_国际合作开放科学与比较,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,高,美国科技政策阶段总结,第四批精选全文,本地资产已保存,形成2017至2020年联邦研发、关键技术、人才和国际科技领导议程的综合节点,2026-08-22
C-KISTEP-RES0220180246,kistep,2018-12-11,2017년도 예비타당성조사 보고서-중소기업글로벌혁신기술개발사업,N1,T3_创新政策与研发治理;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,高,中小企业全球创新技术开发,第四批精选全文,本地资产已保存,补足中小企业技术开发、国际化和项目评估的早期基线,2026-08-22
