主题标签,中国关联层级,科技关联层级,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F197735434,2017-02-01,W1,NBR研究报告,Update to the IP Commission Report: The Theft of American Intellectual Property,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F197735434.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F197735434.txt,https://www.nbr.org/publication/the-ip-commission-report/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F197735434,2017-02-01,W1,NBR研究报告,Update to the IP Commission Report: The Theft of American Intellectual Property,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F197735434.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F197735434.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F197735434,2017-02-01,W1,NBR研究报告,Update to the IP Commission Report: The Theft of American Intellectual Property,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F197735434.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F197735434.txt,https://www.nbr.org/publication/the-ip-commission-report/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F197735434,2017-02-01,W1,NBR研究报告,Update to the IP Commission Report: The Theft of American Intellectual Property,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F197735434.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F197735434.txt,https://www.nbr.org/publication/the-ip-commission-report/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-02A95C4FCC,2018-01-09,W1,NBR政策证词,Evaluating CFIUS Challenges Posed by a Changing Global Economy,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,https://www.nbr.org/publication/evaluating-cfius-challenges-posed-by-a-changing-global-economy/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-02A95C4FCC,2018-01-09,W1,NBR政策证词,Evaluating CFIUS Challenges Posed by a Changing Global Economy,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,https://www.nbr.org/publication/evaluating-cfius-challenges-posed-by-a-changing-global-economy/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-02A95C4FCC,2018-01-09,W1,NBR政策证词,Evaluating CFIUS Challenges Posed by a Changing Global Economy,作者政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-02A95C4FCC.txt,https://www.nbr.org/publication/evaluating-cfius-challenges-posed-by-a-changing-global-economy/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-D55CF667F4,2018-02-14,W1,NBR评论,Strengthening U.S. Trade Strategy in the Asia-Pacific The Role for the Korea-U.S. FTA,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,https://www.nbr.org/publication/strengthening-u-s-trade-strategy-in-the-asia-pacific-the-role-for-the-korea-u-s-fta/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-D55CF667F4,2018-02-14,W1,NBR评论,Strengthening U.S. Trade Strategy in the Asia-Pacific The Role for the Korea-U.S. FTA,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,https://www.nbr.org/publication/strengthening-u-s-trade-strategy-in-the-asia-pacific-the-role-for-the-korea-u-s-fta/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-D55CF667F4,2018-02-14,W1,NBR评论,Strengthening U.S. Trade Strategy in the Asia-Pacific The Role for the Korea-U.S. FTA,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D55CF667F4.txt,https://www.nbr.org/publication/strengthening-u-s-trade-strategy-in-the-asia-pacific-the-role-for-the-korea-u-s-fta/
