报告ID,机构ID,发布日期,观察窗,报告名称,资料角色,主题线索,本地PDF,逐页文本,示踪切片,官方落地页
E-CRDS-2017-ENERGY,jst-crds,2017-03-01,W1,Panoramic View of the Energy Field (2017),全球科技基线与中国比较,关键技术国际比较；能源技术路线,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-ENERGY.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-02.html
E-CRDS-2017-ENV,jst-crds,2017-03-01,W1,Panoramic View of the Environment Field (2017),全球科技基线与中国比较,关键技术国际比较；环境技术路线,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-ENV.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-03.html
E-CRDS-2017-NANO,jst-crds,2017-03-01,W1,Panoramic View of the Nanotechnology / Materials Research Field (2017),全球科技基线与中国比较,关键技术国际比较；先进材料,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-NANO.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-NANO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-NANO.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-05.html
E-CRDS-2017-LIFE,jst-crds,2017-03-01,W1,Panoramic View of the Life Science and Clinical Research Field (2017),全球科技基线与中国比较,关键技术国际比较；生命科学,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-LIFE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-LIFE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2017-LIFE.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2016-FR-06.html
E-CRDS-2019-ENVENERGY,jst-crds,2019-03-01,W2,Panoramic View of the Environment and Energy Field (2019),全球科技基线与中国比较,关键技术国际比较；绿色转型,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-ENVENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2019-ENVENERGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2019-ENVENERGY.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-01.html
E-CRDS-2019-SYSTEMS,jst-crds,2019-03-01,W2,Panoramic View of the Systems and Information Science and Technology Field (2019),全球科技基线与中国比较,AI与数字技术；国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-SYSTEMS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2019-SYSTEMS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2019-SYSTEMS.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-02.html
E-CRDS-2019-NANO,jst-crds,2019-03-01,W2,Panoramic View of the Nanotechnology / Materials Research Field (2019),全球科技基线与中国比较,关键技术国际比较；先进材料,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-NANO.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2019-NANO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2019-NANO.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-03.html
E-CRDS-2019-LIFE,jst-crds,2019-03-01,W2,Panoramic View of the Life Science and Clinical Research Field (2019),全球科技基线与中国比较,关键技术国际比较；生命科学,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2019-LIFE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2019-LIFE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2019-LIFE.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2018-FR-04.html
E-CRDS-2021-ENVENERGY,jst-crds,2021-03-01,W2,Panoramic View Report: Environment and Energy Field (2021),全球科技基线与中国比较,关键技术国际比较；绿色转型,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-ENVENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2021-ENVENERGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2021-ENVENERGY.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-01.html
E-CRDS-2021-SYSTEMS,jst-crds,2021-03-01,W2,Panoramic View Report: Systems and Information Science and Technology Field (2021),全球科技基线与中国比较,AI与数字技术；国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-SYSTEMS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2021-SYSTEMS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2021-SYSTEMS.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-02.html
